,"MagArray (490km, 1s step, ~94min total length for each, {x y z})","MagArray (520km, 1s step)","MagArray (490km, 0.5s step)","MagArray (520km, 0.5s step)"
,,,{    0.023495455       -0.087481556        0.232627669},{    0.025189879       -0.079183586        0.228825970}
,,,{    0.023459353       -0.087641484        0.232625565},{    0.025148528       -0.079331613        0.228831107}
,,,{    0.023423403       -0.087801555        0.232623305},{    0.025107303       -0.079479794        0.228836100}
,,,{    0.023387604       -0.087961770        0.232620891},{    0.025066205       -0.079628130        0.228840950}
,,,{    0.023351958       -0.088122128        0.232618321},{    0.025025234       -0.079776619        0.228845657}
,,,{    0.023316464       -0.088282629        0.232615595},{    0.024984392       -0.079925262        0.228850221}
,,,{    0.023281123       -0.088443271        0.232612714},{    0.024943677       -0.080074058        0.228854642}
,,,{    0.023245935       -0.088604056        0.232609677},{    0.024903092       -0.080223007        0.228858919}
,,,{    0.023210901       -0.088764982        0.232606484},{    0.024862635       -0.080372109        0.228863052}
,,,{    0.023176021       -0.088926049        0.232603136},{    0.024822307       -0.080521363        0.228867042}
,,,{    0.023141295       -0.089087258        0.232599631},{    0.024782110       -0.080670769        0.228870887}
,,,{    0.023106723       -0.089248606        0.232595970},{    0.024742042       -0.080820327        0.228874589}
,,,{    0.023072307       -0.089410095        0.232592153},{    0.024702105       -0.080970037        0.228878146}
,,,{    0.023038046       -0.089571723        0.232588180},{    0.024662299       -0.081119898        0.228881559}
,,,{    0.023003941       -0.089733491        0.232584051},{    0.024622624       -0.081269909        0.228884828}
,,,{    0.022969992       -0.089895398        0.232579764},{    0.024583081       -0.081420071        0.228887952}
,,,{    0.022936200       -0.090057443        0.232575321},{    0.024543670       -0.081570384        0.228890931}
,,,{    0.022902564       -0.090219627        0.232570722},{    0.024504391       -0.081720846        0.228893765}
,,,{    0.022869086       -0.090381948        0.232565966},{    0.024465245       -0.081871458        0.228896455}
,,,{    0.022835766       -0.090544407        0.232561052},{    0.024426232       -0.082022219        0.228898999}
,,,{    0.022802603       -0.090707003        0.232555982},{    0.024387352       -0.082173129        0.228901398}
,,,{    0.022769599       -0.090869736        0.232550755},{    0.024348607       -0.082324188        0.228903652}
,,,{    0.022736753       -0.091032605        0.232545370},{    0.024309995       -0.082475395        0.228905761}
,,,{    0.022704067       -0.091195610        0.232539828},{    0.024271519       -0.082626751        0.228907723}
,,,{    0.022671540       -0.091358751        0.232534129},{    0.024233177       -0.082778254        0.228909540}
,,,{    0.022639173       -0.091522027        0.232528273},{    0.024194971       -0.082929904        0.228911212}
,,,{    0.022606965       -0.091685437        0.232522258},{    0.024156900       -0.083081702        0.228912737}
,,,{    0.022574919       -0.091848983        0.232516087},{    0.024118965       -0.083233646        0.228914116}
,,,{    0.022543033       -0.092012662        0.232509757},{    0.024081167       -0.083385737        0.228915349}
,,,{    0.022511309       -0.092176475        0.232503270},{    0.024043506       -0.083537973        0.228916436}
,,,{    0.022479746       -0.092340422        0.232496625},{    0.024005982       -0.083690356        0.228917376}
,,,{    0.022448345       -0.092504501        0.232489821},{    0.023968596       -0.083842884        0.228918170}
,,,{    0.022417107       -0.092668713        0.232482860},{    0.023931348       -0.083995558        0.228918817}
,,,{    0.022386031       -0.092833057        0.232475741},{    0.023894238       -0.084148376        0.228919317}
,,,{    0.022355118       -0.092997533        0.232468463},{    0.023857266       -0.084301338        0.228919671}
,,,{    0.022324369       -0.093162141        0.232461027},{    0.023820434       -0.084454445        0.228919877}
,,,{    0.022293783       -0.093326879        0.232453433},{    0.023783741       -0.084607696        0.228919936}
,,,{    0.022263361       -0.093491748        0.232445680},{    0.023747188       -0.084761090        0.228919848}
,,,{    0.022233104       -0.093656748        0.232437768},{    0.023710775       -0.084914628        0.228919613}
,,,{    0.022203012       -0.093821877        0.232429698},{    0.023674503       -0.085068308        0.228919230}
,,,{    0.022173085       -0.093987136        0.232421469},{    0.023638371       -0.085222131        0.228918700}
,,,{    0.022143323       -0.094152523        0.232413082},{    0.023602381       -0.085376096        0.228918022}
,,,{    0.022113727       -0.094318040        0.232404535},{    0.023566533       -0.085530203        0.228917196}
,,,{    0.022084298       -0.094483685        0.232395830},{    0.023530826       -0.085684452        0.228916222}
,,,{    0.022055034       -0.094649458        0.232386965},{    0.023495262       -0.085838842        0.228915100}
,,,{    0.022025938       -0.094815358        0.232377941},{    0.023459840       -0.085993373        0.228913830}
,,,{    0.021997009       -0.094981385        0.232368759},{    0.023424562       -0.086148044        0.228912412}
,,,{    0.021968248       -0.095147539        0.232359417},{    0.023389427       -0.086302855        0.228910846}
,,,{    0.021939655       -0.095313820        0.232349915},{    0.023354435       -0.086457807        0.228909131}
,,,{    0.021911230       -0.095480227        0.232340254},{    0.023319588       -0.086612898        0.228907267}
,,,{    0.021882973       -0.095646759        0.232330434},{    0.023284886       -0.086768128        0.228905255}
,,,{    0.021854886       -0.095813416        0.232320454},{    0.023250328       -0.086923497        0.228903094}
,,,{    0.021826968       -0.095980198        0.232310314},{    0.023215915       -0.087079005        0.228900784}
,,,{    0.021799220       -0.096147104        0.232300015},{    0.023181648       -0.087234650        0.228898325}
,,,{    0.021771641       -0.096314134        0.232289556},{    0.023147527       -0.087390434        0.228895717}
,,,{    0.021744233       -0.096481288        0.232278937},{    0.023113553       -0.087546355        0.228892960}
,,,{    0.021716996       -0.096648565        0.232268159},{    0.023079725       -0.087702413        0.228890054}
,,,{    0.021689930       -0.096815965        0.232257220},{    0.023046044       -0.087858608        0.228886998}
,,,{    0.021663035       -0.096983488        0.232246121},{    0.023012510       -0.088014940        0.228883793}
,,,{    0.021636312       -0.097151132        0.232234862},{    0.022979124       -0.088171408        0.228880438}
,,,{    0.021609761       -0.097318897        0.232223443},{    0.022945886       -0.088328011        0.228876933}
,,,{    0.021583383       -0.097486784        0.232211864},{    0.022912797       -0.088484750        0.228873279}
,,,{    0.021557177       -0.097654792        0.232200124},{    0.022879856       -0.088641624        0.228869475}
,,,{    0.021531144       -0.097822920        0.232188224},{    0.022847065       -0.088798633        0.228865521}
,,,{    0.021505285       -0.097991168        0.232176164},{    0.022814423       -0.088955776        0.228861416}
,,,{    0.021479599       -0.098159535        0.232163943},{    0.022781931       -0.089113053        0.228857162}
,,,{    0.021454088       -0.098328022        0.232151561},{    0.022749589       -0.089270464        0.228852757}
,,,{    0.021428751       -0.098496627        0.232139019},{    0.022717398       -0.089428008        0.228848202}
,,,{    0.021403589       -0.098665351        0.232126317},{    0.022685357       -0.089585686        0.228843497}
,,,{    0.021378602       -0.098834193        0.232113453},{    0.022653468       -0.089743495        0.228838641}
,,,{    0.021353790       -0.099003152        0.232100429},{    0.022621731       -0.089901438        0.228833634}
,,,{    0.021329155       -0.099172228        0.232087244},{    0.022590145       -0.090059512        0.228828477}
,,,{    0.021304695       -0.099341421        0.232073898},{    0.022558712       -0.090217717        0.228823169}
,,,{    0.021280412       -0.099510730        0.232060391},{    0.022527431       -0.090376054        0.228817709}
,,,{    0.021256305       -0.099680155        0.232046723},{    0.022496303       -0.090534522        0.228812099}
,,,{    0.021232376       -0.099849695        0.232032894},{    0.022465329       -0.090693120        0.228806338}
,,,{    0.021208624       -0.100019350        0.232018904},{    0.022434508       -0.090851849        0.228800426}
,,,{    0.021185050       -0.100189120        0.232004752},{    0.022403842       -0.091010707        0.228794362}
,,,{    0.021161654       -0.100359004        0.231990440},{    0.022373329       -0.091169695        0.228788147}
,,,{    0.021138436       -0.100529002        0.231975966},{    0.022342972       -0.091328811        0.228781781}
,,,{    0.021115398       -0.100699114        0.231961331},{    0.022312769       -0.091488057        0.228775263}
,,,{    0.021092538       -0.100869338        0.231946534},{    0.022282722       -0.091647431        0.228768593}
,,,{    0.021069857       -0.101039675        0.231931576},{    0.022252831       -0.091806932        0.228761772}
,,,{    0.021047357       -0.101210124        0.231916457},{    0.022223096       -0.091966562        0.228754799}
,,,{    0.021025036       -0.101380684        0.231901176},{    0.022193517       -0.092126318        0.228747674}
,,,{    0.021002896       -0.101551356        0.231885733},{    0.022164095       -0.092286202        0.228740397}
